hour_of_day,date,usertype,tripduration_min,tripduration_max,tripduration_mean,tripduration_sum,tripduration_count
00,2019-12-08,Subscriber,73,5015,641.5711500974659,329126,513
00,2019-12-09,Customer,167,5112,1058.7916666666667,25411,24
00,2019-12-09,Subscriber,81,4923,593.5345911949686,94372,159
00,2019-12-10,Customer,99,11517,2422.5454545454545,53296,22
00,2019-12-10,Subscriber,72,2613,624.3502824858757,110510,177
00,2019-12-11,Customer,502,1197,753.6363636363636,8290,11
00,2019-12-11,Subscriber,82,4516,637.2884615384615,132556,208
00,2019-12-12,Customer,259,6221,1496.8636363636363,32931,22
00,2019-12-12,Subscriber,70,28565,676.9333333333333,182772,270
00,2019-12-13,Customer,183,1682,700.421052631579,26616,38
00,2019-12-13,Subscriber,85,338223,1487.4856459330144,621769,418
00,2019-12-14,Customer,335,2646,930.625,14890,16
00,2019-12-14,Subscriber,94,3635,625.9705882352941,63849,102
00,2019-12-15,Customer,94,55310,1702.9619047619049,178811,105
00,2019-12-15,Subscriber,92,149792,889.7154088050314,565859,636
00,2019-12-16,Customer,219,29141,1849.6774193548388,57340,31
00,2019-12-16,Subscriber,78,2378,535.0361990950227,118243,221
00,2019-12-17,Customer,261,227111,15135.625,242170,16
00,2019-12-17,Subscriber,75,10562,605.7962962962963,65426,108
00,2019-12-18,Customer,145,3092,877.5238095238095,18428,21
00,2019-12-18,Subscriber,62,4856,598.8729508196722,146125,244
00,2019-12-19,Customer,61,3028,887.5,8875,10
00,2019-12-19,Subscriber,68,1887,532.4745762711865,94248,177
00,2019-12-20,Customer,304,2604,1062.0833333333333,12745,12
00,2019-12-20,Subscriber,68,3618,576.6505576208178,155119,269
00,2019-12-21,Customer,210,5343,1297.5714285714287,36332,28
00,2019-12-21,Subscriber,66,3131,630.5196078431372,192939,306
00,2019-12-22,Customer,180,145258,6248.5,174958,28
00,2019-12-22,Subscriber,62,3660,644.3573407202216,232613,361
00,2019-12-23,Customer,195,34071,2180.16,54504,25
00,2019-12-23,Subscriber,66,2553,561.3571428571429,117885,210
00,2019-12-24,Customer,167,3915,1193.9333333333334,53727,45
00,2019-12-24,Subscriber,63,291130,1650.8759124087592,452340,274
00,2019-12-25,Customer,134,2256,732.0909090909091,16106,22
00,2019-12-25,Subscriber,61,2830,597.8118279569892,111193,186
00,2019-12-26,Customer,74,4565,1357.642857142857,38014,28
00,2019-12-26,Subscriber,103,2411,659.280303030303,87025,132
00,2019-12-27,Customer,100,47600,2202.5813953488373,94711,43
00,2019-12-27,Subscriber,67,34438,789.984126984127,199076,252
00,2019-12-28,Customer,95,2626,1219.4642857142858,68290,56
00,2019-12-28,Subscriber,81,2464,587.461126005362,219123,373
00,2019-12-29,Customer,94,2501,1017.0412371134021,98653,97
00,2019-12-29,Subscriber,64,2813,622.0927835051547,241372,388
00,2019-12-30,Customer,265,1592,690.5,5524,8
00,2019-12-30,Subscriber,62,2761,598.5913978494624,55669,93
00,2019-12-31,Customer,291,1963,953.0,24778,26
00,2019-12-31,Subscriber,88,3815,615.4117647058823,136006,221
01,2019-01-01,Customer,320,2480,1192.4347826086957,27426,23
01,2019-01-01,Subscriber,85,5907,773.0763052208836,192496,249
01,2019-01-02,Customer,196,86482,7170.7,143414,20
01,2019-01-02,Subscriber,65,2671,570.8607594936709,45098,79
01,2019-01-03,Customer,372,49686,13395.75,53583,4
01,2019-01-03,Subscriber,97,3498,692.8095238095239,58196,84
01,2019-01-04,Customer,228,24600,3897.8571428571427,81855,21
01,2019-01-04,Subscriber,74,3612,643.3643410852713,82994,129
01,2019-01-05,Customer,1274,2082,1678.0,3356,2
01,2019-01-05,Subscriber,72,2561,660.0191082802547,103623,157
01,2019-01-06,Customer,136,4814,1008.8421052631579,19168,19
01,2019-01-06,Subscriber,63,3578,644.0738255033557,191934,298
01,2019-01-07,Customer,354,993,587.2857142857143,4111,7
01,2019-01-07,Subscriber,79,124526,2244.8192771084337,186320,83
01,2019-01-08,Customer,601,26500,4974.5,39796,8
01,2019-01-08,Subscriber,61,3191,659.8490566037735,69944,106
01,2019-01-09,Customer,177,1796,1011.6,5058,5
01,2019-01-09,Subscriber,71,4135,523.0897435897435,40801,78
01,2019-01-10,Customer,494,931,712.5,1425,2
01,2019-01-10,Subscriber,73,2544,558.8415841584158,56443,101
