start_sta_name,usertype,tripduration_min,tripduration_max,tripduration_mean,tripduration_sum,tripduration_count,birth_year_min,birth_year_max,start_sta_lat_min,start_sta_lon_min
4 Ave & 9 St,Customer,61,166192,1889.741573033708,1850057,979,1953,2002,40.6705135,-73.98876585
4 Ave & 9 St,Subscriber,62,519145,923.0857014992168,8250540,8938,1888,2003,40.6705135,-73.98876585
40 Ave & 9 St,Customer,76,30668,1767.2825688073394,963169,545,1949,2002,40.75742,-73.945133
40 Ave & 9 St,Subscriber,63,42309,920.5829814874959,2834475,3079,1900,2000,40.75742,-73.945133
40 Ave & Crescent St,Customer,87,72160,1480.9238683127571,719729,486,1950,2000,40.7535992020056,-73.9379560947418
40 Ave & Crescent St,Subscriber,61,44439,787.6727861771059,1458770,1852,1943,2001,40.7535992020056,-73.9379560947418
43 St & Broadway,Customer,66,512232,2373.164705882353,2420628,1020,1946,2002,40.7577284,-73.9166368
43 St & Broadway,Subscriber,62,50621,824.7193297426691,5512424,6684,1887,2001,40.7577284,-73.9166368
44 Dr & 21 St,Customer,65,47107,1472.3978300180831,1628472,1106,1949,2003,40.748000000000005,-73.94609270000001
44 Dr & 21 St,Subscriber,61,577425,782.3726024821361,8321315,10636,1887,2003,40.748000000000005,-73.94609270000001
44 Dr & Jackson Ave,Customer,68,494407,1919.5,3839000,2000,1947,2003,40.74718234,-73.9432635
44 Dr & Jackson Ave,Subscriber,61,564818,884.2669258417076,12055211,13633,1886,2003,40.74718234,-73.9432635
45 Rd & 11 St,Customer,90,347266,1640.44726407613,2068604,1261,1930,2002,40.74708586,-73.94977234
45 Rd & 11 St,Subscriber,63,762128,845.6342278847022,9358634,11067,1887,2003,40.74708586,-73.94977234
46 Ave & 5 St,Customer,67,775798,2122.028024911032,4770319,2248,1926,2003,40.74731,-73.95451
46 Ave & 5 St,Subscriber,61,370547,631.151233599096,10053608,15929,1897,2003,40.74731,-73.95451
47 Ave & 31 St,Customer,107,46510,1647.1996336996338,899371,546,1930,2002,40.743,-73.93561
47 Ave & 31 St,Subscriber,63,50569,1131.5975123210515,4821737,4261,1936,2001,40.743,-73.93561
47 Ave & Skillman Ave,Customer,70,207276,1920.0592334494775,551057,287,1959,2003,40.7437524099784,-73.94176483154297
47 Ave & Skillman Ave,Subscriber,61,55461,744.1882210078932,1225678,1647,1941,2001,40.7437524099784,-73.94176483154297
48 Ave & 30 Pl,Customer,124,7474,1314.6739811912225,419381,319,1930,2002,40.74128309355993,-73.93725872039794
48 Ave & 30 Pl,Subscriber,65,7921,1124.734504636408,2304581,2049,1887,2002,40.74128309355993,-73.93725872039794
48 Ave & 5 St,Customer,64,177293,2496.43656207367,1829888,733,1949,2002,40.74436328706688,-73.95587325096129
48 Ave & 5 St,Subscriber,61,49304,660.8066401062417,2487937,3765,1897,2002,40.74436328706688,-73.95587325096129
49 Ave & 21 St,Customer,63,93005,1672.512315270936,1018560,609,1950,2002,40.74252,-73.948852
49 Ave & 21 St,Subscriber,61,46357,756.1974215893785,3929958,5197,1887,2002,40.74252,-73.948852
5 Ave & 3 St,Customer,64,175357,1849.540664375716,3229298,1746,1889,2003,40.672815500000006,-73.98352355
5 Ave & 3 St,Subscriber,61,593032,779.7935980957153,12448625,15964,1889,2003,40.672815500000006,-73.98352355
5 Ave & E 103 St,Customer,61,651913,1926.1920520819206,14201814,7373,1944,2003,40.792255299999994,-73.95249933
5 Ave & E 103 St,Subscriber,62,757044,967.4267472352069,16970600,17542,1888,2003,40.791,-73.953
5 Ave & E 126 St,Customer,71,3379585,9779.753739930955,8498606,869,1941,2003,40.806979999999996,-73.94174699999999
5 Ave & E 126 St,Subscriber,61,215515,908.0680296725168,5018892,5527,1936,2001,40.806979999999996,-73.94174699999999
5 Ave & E 29 St,Customer,61,469791,1614.5133333333333,10413611,6450,1945,2003,40.7451677,-73.98683077
5 Ave & E 29 St,Subscriber,61,333252,707.8419762935947,37263633,52644,1886,2003,40.7451677,-73.98683077
5 Ave & E 63 St,Customer,61,272247,2192.902463142754,24393847,11124,1900,2003,40.766368,-73.971518
5 Ave & E 63 St,Subscriber,61,843341,1017.0756527354922,11024083,10839,1936,2003,40.766368,-73.971518
5 Ave & E 73 St,Customer,61,863568,1886.6854628921194,49317958,26140,1942,2003,40.77282817,-73.96685276
5 Ave & E 73 St,Subscriber,61,202498,926.3908292899737,25011626,26999,1888,2003,40.77282817,-73.96685276
5 Ave & E 78 St,Customer,61,1903285,2304.1874875074955,46111400,20012,1891,2003,40.77632142182271,-73.96427392959596
5 Ave & E 78 St,Subscriber,61,245254,975.4490169860843,19697242,20193,1915,2003,40.77632142182271,-73.96427392959596
5 Ave & E 88 St,Customer,61,1274126,1961.1668405247353,62041513,31635,1924,2003,40.78307,-73.95939
5 Ave & E 88 St,Subscriber,61,902792,1099.0732610082962,25833717,23505,1887,2003,40.78307,-73.95939
5 Ave & E 93 St,Customer,61,311168,1959.4757362584953,16434123,8387,1937,2003,40.785785100000005,-73.957481
5 Ave & E 93 St,Subscriber,63,1128446,1238.8869244935543,13454312,10860,1889,2003,40.785785100000005,-73.957481
5 St & 51 Ave,Customer,78,622283,2985.849354375897,2081137,697,1957,2003,40.7423737,-73.9566
5 St & 51 Ave,Subscriber,61,706028,975.5017619951207,3598626,3689,1938,2001,40.7423737,-73.9566
5 St & 6 Ave,Customer,66,13610,1301.6903353057198,659957,507,1948,2003,40.670483600000004,-73.98208968
5 St & 6 Ave,Subscriber,62,2901381,1132.1350722711413,6814321,6019,1900,2003,40.670483600000004,-73.98208968
5 St & Market St,Customer,159,62802,1297.1637426900584,443630,342,1963,2000,40.6999974843885,-73.97440128028394
5 St & Market St,Subscriber,61,62195,882.8056025114706,3655698,4141,1932,2001,40.6999974843885,-73.97440128028394
58th St Depot,Subscriber,473,1787,1143.5,6861,6,1979,1995,40.716909780459645,-73.98383796215056
6 Ave & 12 St,Customer,76,39802,1563.5224312590449,1080394,691,1943,2002,40.666318100000005,-73.9854617
6 Ave & 12 St,Subscriber,61,60240,796.9123417281202,5727409,7187,1886,2003,40.666318100000005,-73.9854617
6 Ave & 9 St,Customer,74,107918,1576.2091503267975,1446960,918,1954,2003,40.668127,-73.98377641
6 Ave & 9 St,Subscriber,61,205711,713.3238042002715,8932954,12523,1886,2003,40.668127,-73.98377641
6 Ave & Broome St,Customer,65,1179045,1979.3394568690096,12390665,6260,1919,2003,40.72430832160217,-74.00473035871983
6 Ave & Broome St,Subscriber,61,692585,846.4562885763432,33462110,39532,1888,2003,40.72430832160217,-74.00473035871983
6 Ave & Canal St,Customer,61,1086955,1888.7241990255427,12792329,6773,1893,2003,40.72243797,-74.00566443
6 Ave & Canal St,Subscriber,61,151681,806.1507105375763,35795510,44403,1888,2003,40.72243797,-74.00566443
6 Ave & Spring St,Customer,157,37132,1288.683257918552,284799,221,1956,2003,40.7252556952547,-74.00412082672119
6 Ave & Spring St,Subscriber,62,58607,740.6217923410975,3751990,5066,1896,2001,40.7252556952547,-74.00412082672119
6 Ave & W 33 St,Customer,63,330410,1530.9243561612195,13256274,8659,1904,2003,40.74901271,-73.98848395
6 Ave & W 33 St,Subscriber,61,632295,714.6146302874713,47877751,66998,1885,2003,40.749,-73.98899999999999
6 Ave & W 34 St,Customer,61,1574885,1816.0780872998464,8279500,4559,1951,2003,40.74964,-73.98805
6 Ave & W 34 St,Subscriber,61,138212,740.1608529598982,11627927,15710,1886,2003,40.74964,-73.98805
6 St & 7 Ave,Customer,93,89784,1461.7060561299852,989575,677,1960,2002,40.668662700000006,-73.97988067
6 St & 7 Ave,Subscriber,61,13955,645.9721535458685,4964296,7685,1888,2003,40.668662700000006,-73.97988067
7 Ave & Central Park South,Customer,61,1034878,2303.737792438908,53075815,23039,1930,2003,40.7667405590595,-73.9790689945221
7 Ave & Central Park South,Subscriber,61,509706,840.0818827415359,25433479,30275,1886,2003,40.7667405590595,-73.9790689945221
7 Ave & Park Pl,Customer,62,370382,1690.4261333333334,3169549,1875,1943,2003,40.67761470000001,-73.97324283
7 Ave & Park Pl,Subscriber,61,58186,593.6627247176115,11194698,18857,1888,2003,40.67761470000001,-73.97324283
7 St & 3 Ave,Customer,87,20753,1172.025728987993,683291,583,1901,2003,40.67260298150126,-73.98983001708984
7 St & 3 Ave,Subscriber,62,84949,861.2296690503908,5178574,6013,1900,2001,40.67260298150126,-73.98983001708984
7 St & 5 Ave,Customer,84,39700,1417.863574351978,1039294,733,1955,2002,40.670492200000005,-73.98541675
7 St & 5 Ave,Subscriber,63,49590,738.0555632152212,5353117,7253,1885,2003,40.670492200000005,-73.98541675
