hour_of_day,date,gender,tripduration_min,tripduration_max,tripduration_mean,tripduration_sum,tripduration_count
00,2019-02-03,0,149,10384,1493.2631578947369,28372,19
00,2019-02-03,1,68,2866,667.1068702290077,174782,262
00,2019-02-03,2,102,66939,1850.8196721311476,112900,61
00,2019-02-04,0,192,1492,877.25,7018,8
00,2019-02-04,1,67,3047,594.7396449704142,100511,169
00,2019-02-04,2,128,6950,1157.25,23145,20
00,2019-02-05,0,88,1349,754.0,8294,11
00,2019-02-05,1,88,2553,659.9067357512953,127362,193
00,2019-02-05,2,156,1988,645.0833333333334,15482,24
00,2019-02-06,0,110,2583,825.1111111111111,7426,9
00,2019-02-06,1,82,3492,665.0659898477157,131018,197
00,2019-02-06,2,132,2065,617.40625,19757,32
00,2019-02-07,0,401,1294,715.0,2860,4
00,2019-02-07,1,77,1931,531.3965517241379,30821,58
00,2019-02-07,2,111,4586,885.8181818181819,9744,11
00,2019-02-08,0,291,951,540.6363636363636,5947,11
00,2019-02-08,1,89,75878,1069.4285714285713,179664,168
00,2019-02-08,2,112,2449,706.8333333333334,21205,30
00,2019-02-09,0,172,1538,584.0,5840,10
00,2019-02-09,1,75,4346,592.1532567049809,154552,261
00,2019-02-09,2,139,1686,562.0188679245283,29787,53
00,2019-02-10,0,209,1650,837.5882352941177,14239,17
00,2019-02-10,1,64,3395,586.7509293680297,157836,269
00,2019-02-10,2,73,2194,520.0845070422536,36926,71
00,2019-02-11,0,85,1892,542.3,5423,10
00,2019-02-11,1,81,3281,661.7307692307693,86025,130
00,2019-02-11,2,123,2490,499.8181818181818,10996,22
00,2019-02-12,0,98,5002,1204.2857142857142,8430,7
00,2019-02-12,1,62,3039,645.2638036809816,105178,163
00,2019-02-12,2,82,1951,558.0909090909091,18417,33
00,2019-02-13,0,3259,3259,3259.0,3259,1
00,2019-02-13,1,123,1874,556.1777777777778,25028,45
00,2019-02-13,2,277,2675,931.0,4655,5
00,2019-02-14,0,582,712,647.0,1294,2
00,2019-02-14,1,99,2824,634.4461538461538,123717,195
00,2019-02-14,2,124,2411,628.5882352941177,21372,34
00,2019-02-15,0,115,2464,958.9,9589,10
00,2019-02-15,1,90,5715,677.8333333333334,187082,276
00,2019-02-15,2,131,2167,640.2272727272727,28170,44
00,2019-02-16,0,113,46369,4396.8387096774195,136302,31
00,2019-02-16,1,90,40438,779.1544117647059,317895,408
00,2019-02-16,2,100,2881,607.9605263157895,46205,76
00,2019-02-17,0,209,2623,984.0714285714286,13777,14
00,2019-02-17,1,76,3891,667.8459119496855,212375,318
00,2019-02-17,2,120,1143,517.1929824561404,29480,57
00,2019-02-18,0,377,1066,692.6,3463,5
00,2019-02-18,1,74,2873,671.3888888888889,72510,108
00,2019-02-18,2,144,1718,497.9,9958,20
00,2019-02-19,0,339,610,436.6666666666667,1310,3
